dataset,source_file,file_size_bytes,cell_id,form_factor,anode_material,cathode_material,electrolyte_material,nominal_capacity_in_Ah,depth_of_charge,depth_of_discharge,already_spent_cycles,max_voltage_limit_in_V,min_voltage_limit_in_V,max_current_limit_in_A,min_current_limit_in_A,reference,description,charge_protocol,discharge_protocol,SOC_interval,cycle_count,first_cycle_number,last_cycle_number,soc_interval_start,soc_interval_end,charge_step_count,charge_rate_min_C,charge_rate_max_C,charge_rate_mean_C,charge_current_max_A,charge_voltage_max_V,discharge_step_count,discharge_rate_min_C,discharge_rate_max_C,discharge_rate_mean_C,discharge_current_max_A,discharge_voltage_min_V,hardcoded_removed_indices,median_removed_indices
CALCE,CALCE/CALCE_CX2_36.pkl,18622812,CALCE_CX2_36,prismatic,graphite,LiCoO2,,1.35,1.0,1.0,0,4.2,2.7,,,,,[],[],"[0, 1]",1568,1.0,1568.0,0.0,1.0,0,,,,,,0,,,,,,,
CALCE,CALCE/CALCE_CX2_37.pkl,14205540,CALCE_CX2_37,prismatic,graphite,LiCoO2,,1.35,1.0,1.0,0,4.2,2.7,,,,,[],[],"[0, 1]",1072,1.0,1072.0,0.0,1.0,0,,,,,,0,,,,,,,
CALCE,CALCE/CALCE_CX2_38.pkl,18328062,CALCE_CX2_38,prismatic,graphite,LiCoO2,,1.35,1.0,1.0,0,4.2,2.7,,,,,[],[],"[0, 1]",1579,1.0,1579.0,0.0,1.0,0,,,,,,0,,,,,,,
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a.pkl,28569607,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,cylindrical_18650,graphite,LiCoO2+LiNi0.4Co0.4Mn0.2O2,,2.8,1.0,1.0,0,4.3,3.0,,,,,"[{""current_in_A"": null, ""end_soc"": 1.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 2.0, ""start_soc"": 0.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[{""current_in_A"": null, ""end_soc"": 0.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 1.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[0, 1]",1086,1.0,1102.0,0.0,1.0,1,2.0,2.0,2.0,,,1,1.0,1.0,1.0,,,,
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b.pkl,27522187,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b,cylindrical_18650,graphite,LiCoO2+LiNi0.4Co0.4Mn0.2O2,,2.8,1.0,1.0,0,4.3,3.0,,,,,"[{""current_in_A"": null, ""end_soc"": 1.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 2.0, ""start_soc"": 0.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[{""current_in_A"": null, ""end_soc"": 0.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 1.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[0, 1]",1080,1.0,1097.0,0.0,1.0,1,2.0,2.0,2.0,,,1,1.0,1.0,1.0,,,,
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c.pkl,27999631,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c,cylindrical_18650,graphite,LiCoO2+LiNi0.4Co0.4Mn0.2O2,,2.8,1.0,1.0,0,4.3,3.0,,,,,"[{""current_in_A"": null, ""end_soc"": 1.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 2.0, ""start_soc"": 0.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[{""current_in_A"": null, ""end_soc"": 0.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 1.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[0, 1]",1081,1.0,1097.0,0.0,1.0,1,2.0,2.0,2.0,,,1,1.0,1.0,1.0,,,,
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_d.pkl,28663645,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_d,cylindrical_18650,graphite,LiCoO2+LiNi0.4Co0.4Mn0.2O2,,2.8,1.0,1.0,0,4.3,3.0,,,,,"[{""current_in_A"": null, ""end_soc"": 1.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 2.0, ""start_soc"": 0.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[{""current_in_A"": null, ""end_soc"": 0.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 1.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[0, 1]",1081,1.0,1097.0,0.0,1.0,1,2.0,2.0,2.0,,,1,1.0,1.0,1.0,,,,
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_e.pkl,26665354,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_e,cylindrical_18650,graphite,LiCoO2+LiNi0.4Co0.4Mn0.2O2,,2.8,1.0,1.0,0,4.3,3.0,,,,,"[{""current_in_A"": null, ""end_soc"": 1.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 2.0, ""start_soc"": 0.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[{""current_in_A"": null, ""end_soc"": 0.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 1.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[0, 1]",1107,1.0,1123.0,0.0,1.0,1,2.0,2.0,2.0,,,1,1.0,1.0,1.0,,,,
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_f.pkl,28942069,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_f,cylindrical_18650,graphite,LiCoO2+LiNi0.4Co0.4Mn0.2O2,,2.8,1.0,1.0,0,4.3,3.0,,,,,"[{""current_in_A"": null, ""end_soc"": 1.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 2.0, ""start_soc"": 0.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[{""current_in_A"": null, ""end_soc"": 0.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 1.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[0, 1]",1075,1.0,1092.0,0.0,1.0,1,2.0,2.0,2.0,,,1,1.0,1.0,1.0,,,,
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_g.pkl,28011841,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_g,cylindrical_18650,graphite,LiCoO2+LiNi0.4Co0.4Mn0.2O2,,2.8,1.0,1.0,0,4.3,3.0,,,,,"[{""current_in_A"": null, ""end_soc"": 1.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 2.0, ""start_soc"": 0.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[{""current_in_A"": null, ""end_soc"": 0.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 1.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[0, 1]",1082,1.0,1097.0,0.0,1.0,1,2.0,2.0,2.0,,,1,1.0,1.0,1.0,,,,
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_j.pkl,26245990,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_j,cylindrical_18650,graphite,LiCoO2+LiNi0.4Co0.4Mn0.2O2,,2.8,1.0,1.0,0,4.3,3.0,,,,,"[{""current_in_A"": null, ""end_soc"": 1.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 2.0, ""start_soc"": 0.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[{""current_in_A"": null, ""end_soc"": 0.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 1.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[0, 1]",1076,1.0,1094.0,0.0,1.0,1,2.0,2.0,2.0,,,1,1.0,1.0,1.0,,,,
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_l.pkl,28021645,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_l,cylindrical_18650,graphite,LiCoO2+LiNi0.4Co0.4Mn0.2O2,,2.8,1.0,1.0,0,4.3,3.0,,,,,"[{""current_in_A"": null, ""end_soc"": 1.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 2.0, ""start_soc"": 0.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[{""current_in_A"": null, ""end_soc"": 0.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 1.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[0, 1]",1081,1.0,1097.0,0.0,1.0,1,2.0,2.0,2.0,,,1,1.0,1.0,1.0,,,,
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_n.pkl,25955869,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_n,cylindrical_18650,graphite,LiCoO2+LiNi0.4Co0.4Mn0.2O2,,2.8,1.0,1.0,0,4.3,3.0,,,,,"[{""current_in_A"": null, ""end_soc"": 1.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 2.0, ""start_soc"": 0.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[{""current_in_A"": null, ""end_soc"": 0.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 1.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[0, 1]",1082,1.0,1097.0,0.0,1.0,1,2.0,2.0,2.0,,,1,1.0,1.0,1.0,,,,
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_o.pkl,30290740,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_o,cylindrical_18650,graphite,LiCoO2+LiNi0.4Co0.4Mn0.2O2,,2.8,1.0,1.0,0,4.3,3.0,,,,,"[{""current_in_A"": null, ""end_soc"": 1.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 2.0, ""start_soc"": 0.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[{""current_in_A"": null, ""end_soc"": 0.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 1.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[0, 1]",1082,1.0,1097.0,0.0,1.0,1,2.0,2.0,2.0,,,1,1.0,1.0,1.0,,,,
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_p.pkl,29538340,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_p,cylindrical_18650,graphite,LiCoO2+LiNi0.4Co0.4Mn0.2O2,,2.8,1.0,1.0,0,4.3,3.0,,,,,"[{""current_in_A"": null, ""end_soc"": 1.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 2.0, ""start_soc"": 0.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[{""current_in_A"": null, ""end_soc"": 0.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 1.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[0, 1]",1080,1.0,1097.0,0.0,1.0,1,2.0,2.0,2.0,,,1,1.0,1.0,1.0,,,,
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_s.pkl,30155080,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_s,cylindrical_18650,graphite,LiCoO2+LiNi0.4Co0.4Mn0.2O2,,2.8,1.0,1.0,0,4.3,3.0,,,,,"[{""current_in_A"": null, ""end_soc"": 1.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 2.0, ""start_soc"": 0.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[{""current_in_A"": null, ""end_soc"": 0.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 1.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[0, 1]",1088,1.0,1103.0,0.0,1.0,1,2.0,2.0,2.0,,,1,1.0,1.0,1.0,,,,
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_t.pkl,31625824,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_t,cylindrical_18650,graphite,LiCoO2+LiNi0.4Co0.4Mn0.2O2,,2.8,1.0,1.0,0,4.3,3.0,,,,,"[{""current_in_A"": null, ""end_soc"": 1.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 2.0, ""start_soc"": 0.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[{""current_in_A"": null, ""end_soc"": 0.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 1.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[0, 1]",1083,1.0,1101.0,0.0,1.0,1,2.0,2.0,2.0,,,1,1.0,1.0,1.0,,,,
HUST,HUST/HUST_1-1.pkl,52418274,HUST_1-1,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,,,,,"[{""current_in_A"": null, ""end_soc"": 0.8, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 5.0, ""start_soc"": 0.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": null, ""end_voltage_in_V"": 3.6, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 0.8, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": 1.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": null, ""start_soc"": null, ""start_voltage_in_V"": 3.6, ""voltage_in_V"": 3.6}]","[{""current_in_A"": null, ""end_soc"": 0.6, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 5.0, ""start_soc"": 1.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": 0.4, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 0.6, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": 0.2, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 0.4, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": null, ""end_voltage_in_V"": 2.0, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 0.2, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[0, 1]",1504,1.0,1504.0,0.0,1.0,3,1.0,5.0,3.0,,3.6,4,1.0,5.0,2.0,,,,
HUST,HUST/HUST_1-2.pkl,86253920,HUST_1-2,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,,,,,"[{""current_in_A"": null, ""end_soc"": 0.8, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 5.0, ""start_soc"": 0.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": null, ""end_voltage_in_V"": 3.6, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 0.8, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": 1.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": null, ""start_soc"": null, ""start_voltage_in_V"": 3.6, ""voltage_in_V"": 3.6}]","[{""current_in_A"": null, ""end_soc"": 0.6, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 5.0, ""start_soc"": 1.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": 0.4, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 0.6, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": 0.2, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 2.0, ""start_soc"": 0.4, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": null, ""end_voltage_in_V"": 2.0, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 0.2, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[0, 1]",2678,1.0,2678.0,0.0,1.0,3,1.0,5.0,3.0,,3.6,4,1.0,5.0,2.25,,,,
HUST,HUST/HUST_1-3.pkl,55982679,HUST_1-3,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,,,,,"[{""current_in_A"": null, ""end_soc"": 0.8, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 5.0, ""start_soc"": 0.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": null, ""end_voltage_in_V"": 3.6, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 0.8, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": 1.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": null, ""start_soc"": null, ""start_voltage_in_V"": 3.6, ""voltage_in_V"": 3.6}]","[{""current_in_A"": null, ""end_soc"": 0.6, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 5.0, ""start_soc"": 1.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": 0.4, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 0.6, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": 0.2, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 3.0, ""start_soc"": 0.4, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": null, ""end_voltage_in_V"": 2.0, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 0.2, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[0, 1]",1858,1.0,1858.0,0.0,1.0,3,1.0,5.0,3.0,,3.6,4,1.0,5.0,2.5,,,,
HUST,HUST/HUST_1-4.pkl,44226564,HUST_1-4,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,,,,,"[{""current_in_A"": null, ""end_soc"": 0.8, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 5.0, ""start_soc"": 0.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": null, ""end_voltage_in_V"": 3.6, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 0.8, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": 1.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": null, ""start_soc"": null, ""start_voltage_in_V"": 3.6, ""voltage_in_V"": 3.6}]","[{""current_in_A"": null, ""end_soc"": 0.6, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 5.0, ""start_soc"": 1.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": 0.4, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 0.6, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": 0.2, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 4.0, ""start_soc"": 0.4, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": null, ""end_voltage_in_V"": 2.0, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 0.2, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[0, 1]",1500,1.0,1500.0,0.0,1.0,3,1.0,5.0,3.0,,3.6,4,1.0,5.0,2.75,,,,
HUST,HUST/HUST_1-5.pkl,56804712,HUST_1-5,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,,,,,"[{""current_in_A"": null, ""end_soc"": 0.8, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 5.0, ""start_soc"": 0.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": null, ""end_voltage_in_V"": 3.6, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 0.8, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": 1.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": null, ""start_soc"": null, ""start_voltage_in_V"": 3.6, ""voltage_in_V"": 3.6}]","[{""current_in_A"": null, ""end_soc"": 0.6, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 5.0, ""start_soc"": 1.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": 0.4, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 0.6, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": 0.2, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 5.0, ""start_soc"": 0.4, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": null, ""end_voltage_in_V"": 2.0, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 0.2, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[0, 1]",1971,1.0,1971.0,0.0,1.0,3,1.0,5.0,3.0,,3.6,4,1.0,5.0,3.0,,,,
HUST,HUST/HUST_1-6.pkl,36974859,HUST_1-6,cylindrical_18650,graphite,LFP,,1.1,1.0,1.0,0,3.6,2.0,,,,,"[{""current_in_A"": null, ""end_soc"": 0.8, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 5.0, ""start_soc"": 0.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": null, ""end_voltage_in_V"": 3.6, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 0.8, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": 1.0, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": null, ""start_soc"": null, ""start_voltage_in_V"": 3.6, ""voltage_in_V"": 3.6}]","[{""current_in_A"": null, ""end_soc"": 0.6, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 5.0, ""start_soc"": 1.0, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": 0.4, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 2.0, ""start_soc"": 0.6, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": 0.2, ""end_voltage_in_V"": null, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 0.4, ""start_voltage_in_V"": null, ""voltage_in_V"": null}, {""current_in_A"": null, ""end_soc"": null, ""end_voltage_in_V"": 2.0, ""power_in_W"": null, ""rate_in_C"": 1.0, ""start_soc"": 0.2, ""start_voltage_in_V"": null, ""voltage_in_V"": null}]","[0, 1]",1143,1.0,1143.0,0.0,1.0,3,1.0,5.0,3.0,,3.6,4,1.0,5.0,2.25,,,,
